ID,Gender,Age,Occupation,Vintage,Credit_Product,Avg_Account_Balance,Is_Active,Is_Lead
NNVBBKZB,Female,73,Other,43,No,1045696,No,0
IDD62UNG,Female,30,Salaried,32,No,581988,No,0
HD3DSEMC,Female,56,Self_Employed,26,No,1484315,Yes,0
BF3NC7KV,Male,34,Salaried,19,No,470454,No,0
TEASRWXV,Female,30,Salaried,33,No,886787,No,0
ACUTYTWS,Male,56,Self_Employed,32,No,544163,Yes,0
ETQCZFEJ,Male,62,Other,20,,1056750,Yes,1
JJNJUQMQ,Female,48,Self_Employed,13,No,444724,Yes,0
ZMQFYKCB,Female,40,Self_Employed,38,No,1274284,No,0
NVKTFBA2,Female,55,Self_Employed,49,Yes,2014239,No,0
NVC424KZ,Male,53,Self_Employed,123,No,980664,Yes,0
GZ5TMYIR,Male,27,Self_Employed,14,Yes,502787,No,0
FCPEEIY3,Female,27,Salaried,20,No,811591,Yes,0
KCE7JSFN,Male,31,Salaried,31,Yes,938754,No,0
EMEEHHBK,Male,79,Other,57,No,832185,Yes,0
UJ2NJKKL,Male,33,Self_Employed,69,,517063,Yes,1
CNGSPYWS,Female,46,Other,97,Yes,2282502,No,1
VH7NBNNQ,Female,59,Other,15,Yes,2384692,No,1
HDNJXDWC,Female,65,Other,20,No,341573,Yes,0
BDOKI4CP,Female,37,Other,63,No,633484,Yes,0
7PMYNWB3,Male,44,Self_Employed,19,Yes,1001650,No,1
6JXEYFTS,Male,27,Salaried,21,No,1239342,No,0
NRZGJBV6,Female,32,Salaried,26,No,1339779,Yes,0
WWIFTDEZ,Male,50,Self_Employed,99,No,887330,Yes,0
J7TXC9PM,Female,31,Salaried,33,No,396806,No,0
BKYUGEXJ,Male,70,Other,63,No,872600,No,0
TEEXIT7E,Male,25,Salaried,14,No,804577,Yes,0
KKCUHNIZ,Female,31,Salaried,26,No,1543429,No,0
D2HUKRM5,Female,27,Salaried,19,No,423862,No,0
KGLLM5AM,Female,52,Self_Employed,56,Yes,1056910,Yes,1
THFYI78B,Female,26,Salaried,21,No,483136,No,0
ABPMK4WU,Female,32,Salaried,15,,1072850,Yes,1
8NT2COGL,Female,32,Salaried,31,No,394225,No,0
PQXUNUBE,Male,27,Salaried,21,Yes,312158,No,0
FXPTJYP7,Male,67,Other,87,Yes,1684182,No,1
PML5FCBV,Female,29,Salaried,26,No,2521592,No,0
MTEIXMB9,Female,41,Self_Employed,62,,962383,No,1
AGDXY8Y5,Male,59,Self_Employed,55,Yes,294714,Yes,1
DVT4HY9T,Male,49,Salaried,63,Yes,1280247,Yes,1
87RGCC5J,Female,48,Self_Employed,26,Yes,1343268,Yes,0
6WX9JDVK,Female,63,Other,103,,1249319,Yes,1
GOKQQYOZ,Female,34,Salaried,21,Yes,503143,No,0
RZOTSEWU,Female,46,Self_Employed,69,Yes,589616,Yes,0
8ZRKYVMC,Male,61,Self_Employed,103,,2235617,Yes,1
UFQKX85Q,Female,34,Salaried,31,No,643728,No,0
6DSYSPJI,Male,64,Other,87,Yes,2194259,No,0
WEEBFQFF,Female,29,Other,31,No,308091,No,0
E58WHHER,Male,41,Self_Employed,14,No,228187,Yes,0
3EZ9VENT,Male,40,Self_Employed,20,No,403899,No,0
ENKVYPSK,Female,26,Salaried,14,No,300971,No,0
R25YTVSB,Female,27,Salaried,32,No,1188692,No,0
KKJM7YSI,Female,27,Salaried,14,No,894547,No,0
HQ6OCAPR,Female,59,Self_Employed,57,No,1797301,No,0
JLHDNBUG,Male,60,Other,104,Yes,1681503,No,1
LHCIEDVN,Female,27,Other,13,No,344430,Yes,0
G9JQ3YXM,Female,29,Salaried,19,No,621424,No,0
MYQVVJNR,Female,76,Other,93,,1061778,Yes,1
KYDSJMAF,Male,57,Self_Employed,61,No,2110626,No,0
8DRVHH8G,Female,44,Self_Employed,91,No,334159,No,0
JQHOPGIY,Male,37,Salaried,27,No,403134,No,0
BHQ57HGE,Male,36,Self_Employed,15,,584792,No,1
NFKTDJEO,Male,33,Salaried,39,,858271,Yes,1
KWPLQBM5,Male,28,Other,20,No,803171,No,0
QAEWRMJZ,Male,58,Self_Employed,32,Yes,1148954,No,0
4KYUQM5T,Male,65,Other,50,No,842331,Yes,0
QIT5X6XI,Female,43,Self_Employed,14,Yes,757069,No,1
BMVY9HMH,Male,41,Salaried,45,,1301794,Yes,1
GRD4ASAB,Female,30,Other,25,No,1348011,No,0
JHMECDT5,Male,26,Other,26,No,2106541,No,0
AF6MCWFM,Male,30,Salaried,26,Yes,571682,Yes,1
ZD7YSCRF,Female,27,Salaried,26,Yes,480386,No,0
HXSR7NXQ,Male,27,Salaried,13,No,2824468,No,0
8DRB9MJ7,Male,48,Self_Employed,117,No,597510,No,0
GWNQOHZS,Male,35,Salaried,26,No,1646945,No,0
FBTYYHEF,Female,30,Salaried,19,No,777308,No,0
3WBGKSEZ,Female,49,Self_Employed,57,Yes,2031478,Yes,0
6PDC2J7Y,Male,40,Self_Employed,21,No,579924,Yes,0
ASOWTRTQ,Male,71,Other,80,No,1635980,No,0
RVVH3HJH,Male,55,Self_Employed,81,No,2073949,No,0
UYQ6AHQP,Female,73,Other,81,,740969,Yes,1
EJQSWB3E,Female,82,Other,87,No,825475,Yes,0
59SC4PLK,Male,32,Salaried,25,No,963843,No,0
Q4DONA6L,Male,45,Other,73,,254451,Yes,1
RAGPQVIW,Female,41,Other,21,Yes,446744,Yes,0
HPLUCSBS,Male,44,Self_Employed,67,Yes,1199853,Yes,0
M6XJVFRF,Female,29,Other,32,No,328143,No,0
49HD2EFN,Female,30,Salaried,27,No,1139467,No,0
WAHBZOUQ,Female,42,Self_Employed,25,No,731037,No,0
XWMQXFTU,Female,54,Self_Employed,97,Yes,1419710,Yes,1
OKSJNQ2Q,Male,58,Self_Employed,57,No,777753,Yes,0
FQYJ5WEQ,Female,27,Other,31,Yes,412701,Yes,0
NKMDPPAX,Male,28,Salaried,13,No,187086,No,0
TEVZFJZ9,Male,46,Entrepreneur,14,Yes,658003,No,0
J3KDTBZV,Male,61,Self_Employed,109,No,1859183,No,0
BADKNR8F,Female,29,Salaried,26,No,1637724,No,0
EAMNDHZT,Male,27,Self_Employed,13,No,1829314,Yes,0
CKW8TZSW,Male,59,Self_Employed,45,,612417,Yes,1
2MRQPWKL,Female,33,Salaried,13,No,429166,No,0
67JILKEK,Male,28,Salaried,25,No,606552,No,0
DY5XD7KP,Female,30,Self_Employed,26,No,651871,No,0
2ANR4UDN,Female,60,Other,27,Yes,948918,No,0
AYA7AGXV,Male,47,Self_Employed,33,No,675314,Yes,0
CH3KDRDX,Male,44,Self_Employed,13,No,481231,Yes,0
MHOTYB3O,Male,49,Self_Employed,56,,650705,Yes,1
UCCSJGXM,Female,60,Self_Employed,27,Yes,1209260,Yes,0
ZU3M7VBK,Male,40,Self_Employed,26,Yes,1258032,No,0
3DLLLZTT,Male,26,Salaried,27,Yes,682897,No,0
GEDBSPNO,Male,30,Salaried,27,No,940899,No,0
DZ9WNZEJ,Female,40,Self_Employed,56,No,761813,Yes,0
H8SSUOLH,Male,78,Other,92,,1808346,Yes,1
FZUWN4QB,Male,43,Self_Employed,45,Yes,685664,No,1
HNZJII4C,Male,41,Self_Employed,26,No,961155,No,0
KK8HKZEZ,Female,51,Self_Employed,122,Yes,2230188,No,0
JAS9QVTW,Female,27,Salaried,21,No,6278683,Yes,0
TCZNPN6Z,Male,28,Salaried,15,No,358545,No,0
86KSFTPL,Female,25,Salaried,19,No,937214,Yes,0
GZWNW77C,Female,68,Other,21,No,1476874,Yes,0
6BOBHWF4,Male,57,Self_Employed,80,Yes,599210,No,0
PDFNBVYL,Male,36,Other,32,No,1771651,Yes,0
JMXU5DWU,Male,46,Self_Employed,91,,1346053,Yes,1
DKK33FRN,Male,50,Self_Employed,91,Yes,1992558,No,1
BYBDRIYT,Female,46,Self_Employed,81,Yes,694262,No,0
MKDB84R6,Female,83,Other,73,No,2049305,Yes,0
LGTTAC9H,Female,50,Other,75,No,957168,Yes,0
QUKLW8UR,Male,51,Self_Employed,79,No,1388275,Yes,0
HXDKS6AG,Male,46,Self_Employed,121,Yes,1947070,Yes,0
QAGYQMYH,Female,52,Self_Employed,56,No,861164,Yes,1
7KPNANHS,Male,31,Salaried,32,No,363271,No,0
EMVN9YJW,Male,34,Salaried,13,No,760229,Yes,1
FXEYPQUE,Male,33,Salaried,20,,1232267,Yes,0
FO4N8AUE,Female,57,Self_Employed,111,Yes,612916,No,0
